id,product_name,description,price,original_price,price_usd,discount,discount_rate,review_count,stock_item_qty,brand_id,brand_name,url_key,images
275706288,Balo nữ phong cách mới (laptop 14-15-16inch)  - BEE GEE BLNN9059A,"Kích thước 16 inch : rộng 30cm X cao 44cm X dày 15cmKích thước 14 inch : rộng 28cm X cao 40cm X dày 13cmTrọng lượng: 0.5 kgMàu sắc: Đen, Xám, Hồng, TrắngPhương pháp sản xuất: công nghệ caoChất li...",570000,1140000,,570000,50,2,1000,153494,Bee Gee,balo-nu-phong-cach-moi-laptop-15-16inch-bee-gee-blnn9059a-p275706288,"['https://salt.tikicdn.com/ts/product/85/05/24/6db551702dbaaf6332a0c123b9bb61fe.jpg', 'https://salt.tikicdn.com/ts/product/5f/d5/f7/7de50390de5050bbc8d6967d7a170867.jpg', 'https://salt.tikicdn.com/ts/product/a8/8f/67/308eab1c3d75b64b3f52bf0d3d06f96b.jpg', 'https://salt.tikicdn.com/ts/product/93/58/1e/288757e96c146eb9b1be21927bc6e284.jpg', 'https://salt.tikicdn.com/ts/product/d6/e7/1c/587d7deb9b6446d56fe3e68a1fc0d7df.jpg', 'https://salt.tikicdn.com/ts/product/b7/04/69/3937e098ef37433f6825517c65500e9b.jpg', 'https://salt.tikicdn.com/ts/product/15/d5/57/2b56f0d97752ad6b4d600e6bb1833415.jpg', 'https://salt.tikicdn.com/ts/product/0a/5b/c3/ed4fc108b6cd364a3d3b829a80faf306.jpg', 'https://salt.tikicdn.com/ts/product/83/59/b2/db9941e7dc99559f8620217294506e8f.jpg', 'https://salt.tikicdn.com/ts/product/ec/cb/cc/63434cea8329310349b3406bfa1fc1e4.jpg', 'https://salt.tikicdn.com/ts/product/73/b3/b4/e5fde04d13b0a736fae6f34b06761fd6.jpg', 'https://salt.tikicdn.com/ts/product/92/9b/97/f289f352f73fa5a951d6a8df68b192ac.jpg', 'https://salt.tikicdn.com/ts/product/66/07/d2/520cf8efd49391bb606a5ceb8aec9900.jpg', 'https://salt.tikicdn.com/ts/product/45/c2/c3/29d2fed3a601fea122219c67f522fc18.jpg', 'https://salt.tikicdn.com/ts/product/42/b4/96/fa41a4f64a71b723ce92adbd5c768ec2.jpg', 'https://salt.tikicdn.com/ts/product/1a/e2/d5/cf77c484bad536b2c5edb5e1a0780c93.jpg', 'https://salt.tikicdn.com/ts/product/ac/a0/16/5f981e57814df0673f7b2a78bd584615.jpg', 'https://salt.tikicdn.com/ts/product/38/8c/8f/c13ae5f3d6953e6466b2947ab73595f2.jpg', 'https://salt.tikicdn.com/ts/product/0c/17/56/0cec99f19a4041a4267f82563a61a84c.jpg', 'https://salt.tikicdn.com/ts/product/5b/98/87/bb205975e560c0e207815f0cbb2b64f2.jpg', 'https://salt.tikicdn.com/ts/product/a1/78/05/b98de216c5a9265a6ef6de04f6e9e595.jpg', 'https://salt.tikicdn.com/ts/product/d4/9a/4b/2b20a4c04aba3894425ca29a9fb0994f.jpg', 'https://salt.tikicdn.com/ts/product/76/55/2b/9d2d06fc8e0041729dd41710507d6e45.jpg']"
275498740,"Balo nam DA BÒ THẬT, balo laptop phong cách mới – BEE GEE BLND9067","Kích thước : rộng 26cm X cao 37cm X dày 12cmTrọng lượng: 1.2 kgDung tích: laptop 13.3 inchMàu sắc: ĐenPhương pháp sản xuất: thủ côngChất liệu : Da BÒ THẬTChức năng: thoáng khí, chống mài mòn, dễ...",1240000,2480000,,1240000,50,0,1000,153494,Bee Gee,balo-nam-da-bo-that-balo-laptop-phong-cach-moi-bee-gee-blnd9067-p275498740,['https://salt.tikicdn.com/ts/product/26/3e/66/96d36df2d4b444490bf50b35b469bffa.jpg']
272694932,"Túi xách - túi chống sốc cho laptop 13.3 INCH, 13.3 INCH, 14.1-15.4 INCH, 16 INCH cao cấp phong cách mới - TL0127","Kích thước 13ich : rộng 34cm ,cao 24cm,dày4.5cmKích thước 13ich : rộng 36cm ,cao 27cm,dày4.5cmKích thước 13ich : rộng 39cm ,cao 28cm,dày4.5cmPhương pháp sản xuất: công nghệ caoChất liệu : Vải Oxford...",290000,580000,,290000,50,4,1000,153494,Bee Gee,tui-xach-tui-chong-soc-cho-laptop-13-3-inch-cao-cap-phong-cach-moi-tl0127-p272694932,"['https://salt.tikicdn.com/ts/product/3b/fc/1c/5090b706c98c2ab073b34f95eb856bf6.jpg', 'https://salt.tikicdn.com/ts/product/65/8a/ef/167df57d15e9a747e5ac08180ca81605.jpg', 'https://salt.tikicdn.com/ts/product/6c/33/a0/2e2f499922688442befc35d265721ff5.jpg', 'https://salt.tikicdn.com/ts/product/52/ef/ec/341ff98bd8805f25512ea5f7ca40dfbe.jpg', 'https://salt.tikicdn.com/ts/product/a8/e6/b4/6455b60d0c860e05cc55b674ba504e4a.jpg', 'https://salt.tikicdn.com/ts/product/fd/77/08/1041b73f7875102adcc94ba4665c5935.jpg', 'https://salt.tikicdn.com/ts/product/2e/9f/04/657b0ddc4a40d9e913214c69e27f0b45.jpg', 'https://salt.tikicdn.com/ts/product/e2/07/3c/c9256acbf35abd6633137c5dd5d47b67.jpg', 'https://salt.tikicdn.com/ts/product/44/2a/f4/211b208b308fe7ef7d7f478075fc5ebd.jpg', 'https://salt.tikicdn.com/ts/product/e6/9e/b8/1ce39771d00af7f90b7f5e13403e0c7c.jpg', 'https://salt.tikicdn.com/ts/product/3a/48/ba/f6277c435ad72bdd9c1ea5726876a763.jpg', 'https://salt.tikicdn.com/ts/product/f6/94/07/9dfe9a3e9a196d914ba00a895738e487.jpg', 'https://salt.tikicdn.com/ts/product/4d/28/18/b3b69e1737e2165db6d5e40e05118e64.jpg', 'https://salt.tikicdn.com/ts/product/f9/62/b7/840cf7019371a9060be9034c45c66238.jpg', 'https://salt.tikicdn.com/ts/product/e2/e1/67/a8b6ab53dd268512e95b9f5383aab696.jpg', 'https://salt.tikicdn.com/ts/product/10/a0/8b/400ac85cabb1152487dff4f03a2b28e6.jpg', 'https://salt.tikicdn.com/ts/product/53/eb/06/2114df53ee0e66f9ab479503527e1802.jpg', 'https://salt.tikicdn.com/ts/product/ff/06/14/98dd54d55fe5a5f371c7226eddd1aff9.jpg', 'https://salt.tikicdn.com/ts/product/fa/80/cd/45ad6138905e890a288f93bb5835ac97.jpg']"
167472202,"Balo nam nữ thời trang hàng cao cấp phong cách mới 15,6""","Kích thước : rộng 28cm ,cao 39cm,dày 11cmPhương pháp sản xuất: công nghệ caoChất liệu : Vải OXFORD được mã hóa SIÊU CHỐNG THẤM NƯỚCChức năng: Không thấm nước, thoáng khí, chống mài mòn, làm sáng, chốn...",252000,280000,,28000,10,4,1000,4247905,ANANSHOP688,balo-nam-nu-thoi-trang-hang-cao-cap-phong-cach-moi-15-6-p167472202,"['https://salt.tikicdn.com/ts/product/79/8c/1e/4f81dd4e6ad7011a166422df7e589686.PNG', 'https://salt.tikicdn.com/ts/product/ea/ab/2c/1b831d01bf14aaed649d8a8672e1ce73.PNG', 'https://salt.tikicdn.com/ts/product/64/33/f0/b4f3c7699d70a2f1cb1b9c34464a1e7d.PNG', 'https://salt.tikicdn.com/ts/product/b1/2a/68/d502ef286422cc7dbf3b8e63a362ac5a.PNG', 'https://salt.tikicdn.com/ts/product/30/bf/e4/8451bdc36b9f750fb392cd4f55b3180c.PNG', 'https://salt.tikicdn.com/ts/product/1b/1b/a0/d80e7f13c080a8c2a885925d1666bf8d.PNG', 'https://salt.tikicdn.com/ts/product/59/06/ca/ddafa86ec3542499d1d804de10c34dfb.PNG', 'https://salt.tikicdn.com/ts/product/05/f5/ae/7c6ce95a5038f086247408068e53d9a5.PNG', 'https://salt.tikicdn.com/ts/product/17/a7/50/a44062a5dab08df03f4ad491dd4d5ccb.PNG']"
186209846,Balo nữ thời trang công sở cao cấp phong cách hàn quốc,"Kích thước : rộng 29cm ,cao 33cm,dày 14cmPhương pháp sản xuất: công nghệ caoChất liệu : da thậtthiết kế : hiện đại ,trẻ trung ,sang trọng...",356000,395000,,39000,10,4,1000,4247905,ANANSHOP688,balo-nu-thoi-trang-cong-so-cao-cap-phong-cach-han-quoc-p186209846,"['https://salt.tikicdn.com/ts/product/78/8b/07/116a7337ab74da3e7e37867d878efc5e.PNG', 'https://salt.tikicdn.com/ts/product/ff/5d/dd/f148e003fcc5dca408e726f1ebe89954.PNG', 'https://salt.tikicdn.com/ts/product/98/1e/d2/9b5e5d87fabceb6d7dc565971930cd71.PNG', 'https://salt.tikicdn.com/ts/product/f7/d1/78/ec0644eb7ba77a63d44ffc7646e0a858.PNG', 'https://salt.tikicdn.com/ts/product/d8/7d/89/c372fdb7eee9798245381f2f5a2c4d0b.PNG', 'https://salt.tikicdn.com/ts/product/d2/3f/73/6efe41eead6dc338b7f70d5a24ab974e.PNG', 'https://salt.tikicdn.com/ts/product/3f/9a/77/b3e0ffb769f7db9ff5ebf30696049635.PNG', 'https://salt.tikicdn.com/ts/product/df/24/fc/c1e63a9d168f45e86c06b457393aa8b2.PNG', 'https://salt.tikicdn.com/ts/product/1e/56/69/a74f865b71472fc94d658fe01ef0cd9a.PNG', 'https://salt.tikicdn.com/ts/product/8f/7a/9f/ac108166c3f0e56ee057c764ec14b61d.PNG', 'https://salt.tikicdn.com/ts/product/17/9d/2b/cd2342c291ac13495f61432a8925fd60.PNG', 'https://salt.tikicdn.com/ts/product/43/c4/2b/3d1e1f876adff988721acf3bd9c11090.PNG']"
275401052,Túi Chống Sốc Cho Laptop 2 Ngăn Không Thấm Nước - Hàng Chính Hãng,"CÁCH CHỌN SIZE: xem bảng kích thước bên dưới- 11"": Ngoài (32 x 23.5cm) - Trong (30.5 x 22cm)- 12"": Ngoài (32.5 x 23.5cm) - Trong (31 x 22cm)- 13.3"": Ngoài (35.5 x 26cm) - Trong (33.5 x 24.5cm)- 15"": N...",125000,125000,,0,0,2,1000,5706641,NAVIVU,tui-chong-soc-cho-macbook-laptop-2-ngan-khong-tham-nuoc-hang-cinh-hang-p275401052,"['https://salt.tikicdn.com/ts/product/12/eb/e3/88c43e08529d27cdba7001e652b8e2f0.jpg', 'https://salt.tikicdn.com/ts/product/a6/cb/f4/0db35d2d6c4646f500722a55060e71c5.jpg', 'https://salt.tikicdn.com/ts/product/23/88/c6/958a1b3b8772bc8e29f5b88849e66385.jpg', 'https://salt.tikicdn.com/ts/product/78/6f/d3/771db483ac5332515b9e19c892afaf5a.jpg', 'https://salt.tikicdn.com/ts/product/3e/73/5a/7651b8f0e7c3daff26745fee3f2db0da.jpg', 'https://salt.tikicdn.com/ts/product/b9/6c/cb/91f54b255f541c7e2e9996476f1f5c09.jpg', 'https://salt.tikicdn.com/ts/product/3a/5c/8d/b46c0de269a4d3026faa0d829dcdb163.jpg']"
129025988,"Túi chống sốc đệm viền dày GuBag, đựng vừa các dòng laptop, chống nước, chống xước",  ...,118000,118000,,0,0,184,1000,4533647,Gubag,tui-chong-soc-dem-vien-day-dung-vua-laptop-15-6-inch-14inch-13inch-chong-nuoc-chong-xuoc-p129025988,"['https://salt.tikicdn.com/ts/product/af/d4/a1/ab594b904ac39318c5559e63310cf0ce.jpg', 'https://salt.tikicdn.com/ts/product/9a/fe/6b/22c7a12fee482f50b49d2675234b3235.png', 'https://salt.tikicdn.com/ts/product/04/d3/b0/fbc9ad958857b698668ad4cd1f6118c5.jpg', 'https://salt.tikicdn.com/ts/product/2c/a0/94/31bddc27767c511de90e726f1ecd2d4d.jpg', 'https://salt.tikicdn.com/ts/product/00/d8/d1/296cc383b46657f24c88176faf7d1f05.jpg', 'https://salt.tikicdn.com/ts/product/eb/da/6e/a69e39ca001fc331da9de8209deaa21d.jpg', 'https://salt.tikicdn.com/ts/product/76/28/15/ebe1802db5426a60a619b2fc2f657403.jpg', 'https://salt.tikicdn.com/ts/product/cb/40/83/9510425d128d1260e1d14860c4ea5dfa.jpg', 'https://salt.tikicdn.com/ts/product/35/82/19/7cc1607493b93a133c071589bf717df2.jpg', 'https://salt.tikicdn.com/ts/product/0b/30/89/67b4029b9e11bbbc00091b0c873cf8ae.jpg', 'https://salt.tikicdn.com/ts/product/93/c6/b9/a7202aa955b478302cbda5c9773b6ba7.jpg']"
272694932,"Túi xách - túi chống sốc cho laptop 13.3 INCH, 13.3 INCH, 14.1-15.4 INCH, 16 INCH cao cấp phong cách mới - TL0127","Kích thước 13ich : rộng 34cm ,cao 24cm,dày4.5cmKích thước 13ich : rộng 36cm ,cao 27cm,dày4.5cmKích thước 13ich : rộng 39cm ,cao 28cm,dày4.5cmPhương pháp sản xuất: công nghệ caoChất liệu : Vải Oxford...",290000,580000,,290000,50,4,1000,153494,Bee Gee,tui-xach-tui-chong-soc-cho-laptop-13-3-inch-cao-cap-phong-cach-moi-tl0127-p272694932,"['https://salt.tikicdn.com/ts/product/3b/fc/1c/5090b706c98c2ab073b34f95eb856bf6.jpg', 'https://salt.tikicdn.com/ts/product/65/8a/ef/167df57d15e9a747e5ac08180ca81605.jpg', 'https://salt.tikicdn.com/ts/product/6c/33/a0/2e2f499922688442befc35d265721ff5.jpg', 'https://salt.tikicdn.com/ts/product/52/ef/ec/341ff98bd8805f25512ea5f7ca40dfbe.jpg', 'https://salt.tikicdn.com/ts/product/a8/e6/b4/6455b60d0c860e05cc55b674ba504e4a.jpg', 'https://salt.tikicdn.com/ts/product/fd/77/08/1041b73f7875102adcc94ba4665c5935.jpg', 'https://salt.tikicdn.com/ts/product/2e/9f/04/657b0ddc4a40d9e913214c69e27f0b45.jpg', 'https://salt.tikicdn.com/ts/product/e2/07/3c/c9256acbf35abd6633137c5dd5d47b67.jpg', 'https://salt.tikicdn.com/ts/product/44/2a/f4/211b208b308fe7ef7d7f478075fc5ebd.jpg', 'https://salt.tikicdn.com/ts/product/e6/9e/b8/1ce39771d00af7f90b7f5e13403e0c7c.jpg', 'https://salt.tikicdn.com/ts/product/3a/48/ba/f6277c435ad72bdd9c1ea5726876a763.jpg', 'https://salt.tikicdn.com/ts/product/f6/94/07/9dfe9a3e9a196d914ba00a895738e487.jpg', 'https://salt.tikicdn.com/ts/product/4d/28/18/b3b69e1737e2165db6d5e40e05118e64.jpg', 'https://salt.tikicdn.com/ts/product/f9/62/b7/840cf7019371a9060be9034c45c66238.jpg', 'https://salt.tikicdn.com/ts/product/e2/e1/67/a8b6ab53dd268512e95b9f5383aab696.jpg', 'https://salt.tikicdn.com/ts/product/10/a0/8b/400ac85cabb1152487dff4f03a2b28e6.jpg', 'https://salt.tikicdn.com/ts/product/53/eb/06/2114df53ee0e66f9ab479503527e1802.jpg', 'https://salt.tikicdn.com/ts/product/ff/06/14/98dd54d55fe5a5f371c7226eddd1aff9.jpg', 'https://salt.tikicdn.com/ts/product/fa/80/cd/45ad6138905e890a288f93bb5835ac97.jpg']"
183791755,"Túi chống sốc Laptop, Túi chống sốc Mac-book cao cấp (nhiều kích thước) - Bảo vệ chống va chạm, Chống thấm nước - Hàng chính hãng VinBuy","Túi chống sốc Laptop, Túi chống sốc Mac-book 13 inch, 14 inch, 15 inch, 15.6 inch cao cấp - Bảo vệ chống va chạm, Chống thấm nước - Hàng chính hãng VinBuyLƯU Ý QUAN TRỌNGKhông chọn túi theo "" (inch)...",125000,190000,,65000,34,101,1000,4224691,VinBuy,tui-chong-soc-laptop-tui-chong-soc-macbook-13-inch-14-inch-15-inch-15-6-inch-cao-cap-bao-ve-chong-va-cham-chong-tham-nuoc-hang-chinh-hang-vinbuy-p183791755,"['https://salt.tikicdn.com/ts/product/95/f0/31/bbd563b37a75c5c4ee0dafb94e5efb20.jpg', 'https://salt.tikicdn.com/ts/product/73/c0/db/7d4fe38e82eca1f47384894b170110c3.jpg', 'https://salt.tikicdn.com/ts/product/48/37/ae/f1d17fc1c16ca88f46d234beb60f3459.jpg', 'https://salt.tikicdn.com/ts/product/b3/1f/50/8cc69e71edc730bbc5fdb5a03a60bd9e.png', 'https://salt.tikicdn.com/ts/product/cb/ee/c8/207b70bc7697852a302d9182a17fd55b.jpg', 'https://salt.tikicdn.com/ts/product/96/91/30/6e752e5f189da2e4891baa6f9da3aeea.png', 'https://salt.tikicdn.com/ts/product/f3/3a/ea/dc104f39f7345242d8beaa89785634ac.png', 'https://salt.tikicdn.com/ts/product/70/03/19/623b8d4e086d727cfc53ce7e1b8b42f4.png', 'https://salt.tikicdn.com/ts/product/c6/81/13/04dde04a3b46c6f24146776a99bea54b.png', 'https://salt.tikicdn.com/ts/product/73/68/01/8aa76a19e4a9a6cde2e8054f280ed76f.png', 'https://salt.tikicdn.com/ts/product/33/c4/1a/2b0be1622a25c86c6f623ed2d030a40b.png', 'https://salt.tikicdn.com/ts/product/d0/bd/7b/08cf4fbb1955c61a1d0178cb7b6d12dc.png']"
204875405,Túi Chống Sốc Laptop 13 inch 14 inch 15 inch 17inch HARAS TC001,"úi chống sốc Laptop HARAS dành cho nhiều kích thước khác nhau như 13inch, 14 inch, 15 inch, 15.6 inch hoặc có loại dành cho macbook air, macbook pro. Sử dụng cho nhiều thương hiệu laptop khác nhau như...",99000,99000,,0,0,13,1000,143947,HARAS,tui-chong-soc-laptop-13-inch-14-inch-15-inch-17inch-haras-tc001-p204875405,['https://salt.tikicdn.com/ts/product/6a/c1/43/7d59c4f369377867a3350cf1ca5ea3eb.jpg']
