id,product_name,description,price,original_price,price_usd,discount,discount_rate,review_count,stock_item_qty,brand_id,brand_name,url_key,images
270975124,Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng ,"OPPO A58 - chiếc điện thoại kế nhiệm nhà OPPO dự kiến sẽ có những thiết kế nổi bật ngoài sự mong đợi. Điện thoại sở hữu cấu hình ấn tượng với chip Dimensity 700 và khả năng đa nhiệm của RAM 8G, bộ nhớ...",4090000,4990000,,900000,18,60,1000,25643,OPPO,dien-thoai-oppo-a58-6gb-128gb-hang-chinh-hang-p270975124,"['https://salt.tikicdn.com/ts/product/32/67/39/f8659b0494a1255b13c536444938ae08.jpg', 'https://salt.tikicdn.com/ts/product/bf/74/94/63a2f6bbde33d9e236c6f0047876ec56.png', 'https://salt.tikicdn.com/ts/product/67/01/4a/4b5e2a6808c645487d566e4fc7decaf0.png', 'https://salt.tikicdn.com/ts/product/0b/e9/b8/0598884ab11513b494f513ab4eef7289.png', 'https://salt.tikicdn.com/ts/product/c2/c0/d0/441a90410071fc7b61d0a333563f88c3.jpg', 'https://salt.tikicdn.com/ts/product/3e/94/d1/ae9041a7cd6b1f0ec0bcc2eaa0d957e0.png', 'https://salt.tikicdn.com/ts/product/cd/80/43/3517dbc48f8b0a817bc05726da277819.jpg']"
274037360,Điện Thoại POCO C65 (6GB/128GB) - Hàng Chính Hãng,"Công nghệ, thời thượng, siêu trải nghiệmXiaomi POCO C65 đang là điểm nhấn công nghệ được nhiều người dùng quan tâm trong thời gian gần đây. Với hàng loạt sự nổi bật về thiết kế, cấu hình cũng như hiệ...",2690000,3090000,,400000,13,44,1000,406575,POCO,dien-thoai-poco-c65-6gb-128gb-hang-chinh-hang-p274037360,"['https://salt.tikicdn.com/ts/product/37/c9/8a/aa2b67d694ccfd6fb7c6f61293fb01c2.png', 'https://salt.tikicdn.com/ts/product/e6/d0/b4/2597445be5bafcad4034829b27edf0ff.png', 'https://salt.tikicdn.com/ts/product/76/01/87/e4ce3941f01ff5beea9a562f4153b6d5.png', 'https://salt.tikicdn.com/ts/product/a1/94/92/248fd5e6659824bdde1c87094ff04fc7.png', 'https://salt.tikicdn.com/ts/product/ed/48/74/254575e9874ea98e29c3922c2dffee98.png', 'https://salt.tikicdn.com/ts/product/a8/cb/7c/42b8f73bd1714c9337e69b47c46a5e82.png', 'https://salt.tikicdn.com/ts/product/f1/bb/3e/65aa69b2eda1985a7aa08df9f98ec163.png', 'https://salt.tikicdn.com/ts/product/f4/7d/29/73337512ff3c7a0c983efc87f87b3671.png', 'https://salt.tikicdn.com/ts/product/4e/4d/78/7257fdab1af08eb509d0c154b0b7001b.png', 'https://salt.tikicdn.com/ts/product/0e/28/1e/88d431dea154687d1ea78a4932680663.png', 'https://salt.tikicdn.com/ts/product/2c/aa/f8/21dd155da2a2f1f866f011029cc2fb42.png', 'https://salt.tikicdn.com/ts/product/f7/aa/1b/952ec5bc85ea51b55275887e56de7290.png']"
271973414,Apple iPhone 15 Pro Max,"Nội dung quảng cáoGiờ đây với thiết kế titan nhẹ và bền chắc, cùng chip A17 Pro cho khả năng đa nhiệm khủng. Bắt trọn những khoảnh khắc đặc biệt khi đang di chuyển với hệ thống camera chuyên nghiệp l...",28490000,33490000,,5000000,15,230,1000,17827,Apple,apple-iphone-15-pro-max-p271973414,"['https://salt.tikicdn.com/ts/product/fa/1d/33/98a0ed962d4b27b6526a93fac7aab192.png', 'https://salt.tikicdn.com/ts/product/39/07/d6/31cee262fe6205efb5b8bf7845528507.jpg', 'https://salt.tikicdn.com/ts/product/e1/9d/af/2c0568b99d44e014fd8fd77e7dc77406.jpg', 'https://salt.tikicdn.com/ts/product/5b/44/8c/ef83acd691243458a2c627cb68cf775c.jpg', 'https://salt.tikicdn.com/ts/product/7d/33/49/ff84305c53d5326e471866cd6b549ecb.jpg', 'https://salt.tikicdn.com/ts/product/4c/94/73/f926d25922351f47bdfba77a5766668d.jpg', 'https://salt.tikicdn.com/ts/product/a7/91/10/e458170920f982bcc77dac7a5950c0e6.jpg', 'https://salt.tikicdn.com/ts/product/60/8c/35/07259be2cdc31cdf2410ee509a304f03.jpg', 'https://salt.tikicdn.com/ts/product/19/7a/63/96dd8f15cc7ca98ac4772be8717a0602.jpg', 'https://salt.tikicdn.com/ts/product/03/a5/f5/01bc3bc2e51a39fa6ef2aa69156197bd.jpg']"
184059211,Apple iPhone 13,iPhone 13. Hệ thống camera kép tiên tiến nhất từng có trên iPhone. Chip A15 Bionic thần tốc. Bước nhảy vọt về thời lượng pin. Thiết kế bền bỉ. Mạng 5G siêu nhanh.1 Cùng với màn hình Super Retina XDR s...,13290000,24990000,,11700000,47,1961,1000,17827,Apple,apple-iphone-13-hang-chinh-hang-p184059211,"['https://salt.tikicdn.com/ts/product/c2/95/b0/405e3bc7267cd545c76fd6eb93fa6045.png', 'https://salt.tikicdn.com/ts/product/f3/0e/72/b5aebf9321d23f9d28703ad58c631389.jpg', 'https://salt.tikicdn.com/ts/product/4a/b7/6b/39b588b1ed35db995be5346802b6e3d1.jpg', 'https://salt.tikicdn.com/ts/product/51/8f/4d/22f01a90f24b7d02ec1c12c402644c1a.jpg', 'https://salt.tikicdn.com/ts/product/7e/6e/28/2ac1ea2d505499801c98ae3ba8269e7c.jpg', 'https://salt.tikicdn.com/ts/product/23/e8/5b/cdf5b690789df6c2f841e158bfcae651.jpg', 'https://salt.tikicdn.com/ts/product/fa/95/0c/691bcb7acf8a5f723dc825f8b009e62f.jpg', 'https://salt.tikicdn.com/ts/product/4d/89/71/c77e60d666b943bcea78439cab42a91c.jpg', 'https://salt.tikicdn.com/ts/product/ec/d4/94/f5aca8b3d5d2409abf73eb6ea997af10.jpg']"
274037365,Điện Thoại POCO C65 (8GB/256GB) - Hàng Chính Hãng,"Công nghệ, thời thượng, siêu trải nghiệmXiaomi POCO C65 đang là điểm nhấn công nghệ được nhiều người dùng quan tâm trong thời gian gần đây. Với hàng loạt sự nổi bật về thiết kế, cấu hình cũng như hiệ...",2990000,3590000,,600000,17,68,1000,406575,POCO,dien-thoai-poco-c65-8gb-256gb-hang-chinh-hang-p274037365,"['https://salt.tikicdn.com/ts/product/37/c9/8a/1fab959516e842bbb41c913d78da7c74.png', 'https://salt.tikicdn.com/ts/product/e6/d0/b4/a4de05702c7ac4690e5bfbdbde9ba58f.png', 'https://salt.tikicdn.com/ts/product/76/01/87/0d8a1496a8848026abb56c27a2000b97.png', 'https://salt.tikicdn.com/ts/product/a1/94/92/e73c76e1ad8eea6d7e4963e97bf86710.png', 'https://salt.tikicdn.com/ts/product/ed/48/74/a79f656ceb309ea3be40d57c3f27df8a.png', 'https://salt.tikicdn.com/ts/product/a8/cb/7c/f841ea4d93e82b37d2369915e3cba422.png', 'https://salt.tikicdn.com/ts/product/f1/bb/3e/d0c0b9450c33c9006c4c73840681c102.png', 'https://salt.tikicdn.com/ts/product/f4/7d/29/0661092c705cbd026c3f393551e40494.png', 'https://salt.tikicdn.com/ts/product/4e/4d/78/312fc21f4c8b9fdd1c5000d6cf4dd339.png', 'https://salt.tikicdn.com/ts/product/0e/28/1e/322dfe893b4f136b4be781d424df52ad.png', 'https://salt.tikicdn.com/ts/product/2c/aa/f8/d4c916f8c11f6d2aeaa49383b5373a42.png', 'https://salt.tikicdn.com/ts/product/f7/aa/1b/cfe98da45f7cc7013dbc88a6a5aaf822.png']"
135332196,Điện Thoại Nokia C20 2GB/16GB - Hàng Chính Hãng,"Thiết Kế Bền Bỉ Theo Thời Gian- Nokia C20 có thiết kế theo phong cách cổ điển, lịch lãm của thương hiệu đến từ Bắc Âu.- Chiếc điện thoại của chúng ta không chỉ đẹp mà còn chế tác từ lớp vỏ polycarbo...",1050000,2290000,,1240000,54,168,1000,19673,Nokia,dien-thoai-nokia-c20-2gb-16gb-hang-chinh-hang-p135332196,['https://salt.tikicdn.com/ts/product/77/9b/2e/5615d536920daa07f31b436efb831c29.jpg']
184036446,Apple iPhone 11,"Nội dung về tính năngQuay video 4K, chụp ảnh chân dung tuyệt đẹp và chụp phong cảnh rộng với hệ thống camera kép hoàn toàn mới. Chụp ảnh tối ưu trong điều kiện ánh sáng yếu với chế độ Ban Đêm. Xem ản...",8490000,12990000,,4500000,35,3069,1000,17827,Apple,apple-iphone-11-p184036446,"['https://salt.tikicdn.com/ts/product/a1/cd/ce/84a16c41ac07ce50d754e44a16ecbd1c.jpg', 'https://salt.tikicdn.com/ts/product/10/ab/e3/23f4e6f5158161a89c63623dc088be40.jpg', 'https://salt.tikicdn.com/ts/product/4d/dd/a1/be15e1ce8ca2e2a498013d467957263d.jpg', 'https://salt.tikicdn.com/ts/product/aa/2f/07/1bf94fac46f44e6d9885801b779002f6.jpg', 'https://salt.tikicdn.com/ts/product/18/be/e2/5b83b29830cd3b6efcdfda0fd22ebe7e.jpg', 'https://salt.tikicdn.com/ts/product/7b/fc/1f/d052d8191e7f090a033fad7a385fc072.jpg', 'https://salt.tikicdn.com/ts/product/b7/9c/2e/54347dd59c09089cd4ecd4b9f2f56998.jpg']"
274989836,Điện thoại Tecno SPARK 10 Pro 8GB/128GB  Hàng chính hãng,"Thiết kế mới lạ, cấu hình mạnh mẽTECNO SPARK 10 Pro có kiểu thiết kế khá mới lạ, với cụm camera được hoàn thiện khá lớn. Bên cạnh đó, sản phẩm trang bị bộ vi xử lý khá mạnh mẽ, đáp ứng tốt cho nhu cầ...",2590000,2990000,,400000,13,33,1000,162007,Tecno,dien-thoai-tecno-spark-10-pro-8gb-128gb-hang-chinh-hang-p274989836,"['https://salt.tikicdn.com/ts/product/68/17/6d/3635c8ceea646c0ac10c5e68cb7b2342.png', 'https://salt.tikicdn.com/ts/product/02/6c/bb/c065c18a345d5b36274103b2e34ba030.jpg', 'https://salt.tikicdn.com/ts/product/5c/03/8f/2acef8674f3e4b3e4dc52160778e37b9.jpg', 'https://salt.tikicdn.com/ts/product/95/ee/dc/642f3ad01ea655d45245d19a1d66b246.jpg', 'https://salt.tikicdn.com/ts/product/74/fa/ef/f528976ab4e8121b4d42b61e4d438f8a.jpg']"
273951550,Điện Thoại Samsung Galaxy A15 LTE (8GB/128GB)- Đã Kích Hoạt Bảo Hành Điện tử - Hàng Chính Hãng,"Thiết kế và Màn hìnhĐiện Thoại Samsung Galazy A15 LTE (8GB/128GB) thiết kế viền nổi độc đáo Key Island, mang lại trải nghiệm cầm nắm khác biệt, chắc chắn và dễ dàng.Màn hình Super AMOLED 90Hz cho t...",3950000,4990000,,1040000,21,57,1000,18802,Samsung,dien-thoai-samsung-galazy-a15-lte-8gb-128gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p273951550,"['https://salt.tikicdn.com/ts/product/73/72/13/ed86e449d848c69b1d59634b26afebf2.jpg', 'https://salt.tikicdn.com/ts/product/57/51/71/e84c5fc4b61335563f96c481f4c5e433.jpg', 'https://salt.tikicdn.com/ts/product/e1/63/0f/3e6f2e54cd70349a05a821169ffa7812.jpg', 'https://salt.tikicdn.com/ts/product/f4/7a/6f/2be4a10ca370f354da550c9b3d2824c6.jpg', 'https://salt.tikicdn.com/ts/product/ed/f6/04/2f95ca35639298de8060954b527802ff.jpg', 'https://salt.tikicdn.com/ts/product/f5/33/a8/1eec0edbf1d0b8c0eff86284fad57186.jpg', 'https://salt.tikicdn.com/ts/product/bc/da/2e/dbe0a0934153ff4992c6b383517aef95.jpg', 'https://salt.tikicdn.com/ts/product/a9/4a/1c/d55c4418dd26496da03ffa177becb807.jpg', 'https://salt.tikicdn.com/ts/product/c7/34/09/47860d719d99f921659c40e2f8b8eb12.jpg', 'https://salt.tikicdn.com/ts/product/54/f5/e0/6fb548470d6d5ddbf7727ba0fd2d0889.jpg']"
271972435,Apple iPhone 15 Pro,"Nội dung quảng cáoiPhone 15 Pro. Được đúc từ titan và trang bị chip A17 Pro đột phá, nút Tác Vụ có thể tùy chỉnh, và hệ thống camera chuyên nghiệp linh hoạt hơn. Tính năng nổi bậtĐƯỢC ĐÚC TỪ TI...",23990000,27990000,,4000000,14,111,1000,17827,Apple,apple-iphone-15-pro-p271972435,"['https://salt.tikicdn.com/ts/product/99/86/04/7a74043bebfb2645b559fd94587ecf77.png', 'https://salt.tikicdn.com/ts/product/9c/23/ef/b0c544a466ae947a8d8ca79acddcef74.jpg', 'https://salt.tikicdn.com/ts/product/2c/8b/c0/987b842068aa6e7636649106bc3c108b.jpg', 'https://salt.tikicdn.com/ts/product/3e/79/a2/aa45b44f174d4b13a5118b9ba6a188ab.jpg', 'https://salt.tikicdn.com/ts/product/49/63/de/6307730cb8f3f646e62706cd53723e43.jpg', 'https://salt.tikicdn.com/ts/product/d2/ab/e1/846d8b329ad7eaacb61eb94f8c777af3.jpg', 'https://salt.tikicdn.com/ts/product/bc/c0/7f/e38bfebe3a85a6aa0cbb9ceab2ee0344.jpg', 'https://salt.tikicdn.com/ts/product/84/f3/a0/7f18b721a34eaa6e0b5d68dfe1fd790a.jpg', 'https://salt.tikicdn.com/ts/product/6f/2d/a7/8aaa6bbfdd6168d81aed9c1522d4aa94.jpg', 'https://salt.tikicdn.com/ts/product/01/6b/dc/8e50ff70a69f5659999b6c6be9ab0a37.jpg']"
